No.,Cod.,"Centro de Costo","Punto BI",Agencia,Ubicación,Dirección,"Tiempo de respuesta","Base de Patrullaje","Patrullaje Para Abastecimiento","TIEMPO DE RESPUESTA (MN)","SECTOR OPERATIVO",VALORES
925,C735,08.4.286,CAJERO,"ATM NORTH WEST (C735) PROSEGUR",LOCAL,"Kilometro 10.5 Carretera al Atlántico",0:10:00,"Base Shell Norte",NO,"Sin Cobertura",,EBANO
926,C736,08.3.202,CAJERO,"ATM TRINIDAD MALACATAN  (C736) AGENCIA",DEPARTAMENTAL,"9 avenida y 5 calle zona 2. Centro Comercial La Tr",0:15:00,Malacatan,SI,"Sin Cobertura",SI,EBANO
927,C737,08.4.287,CAJERO,"ATM SHELL SANTA LUCIA (C737) FORZA",DEPARTAMENTAL,"Km. 89.5 Carretera al Pacifico, Santa Lucía Cotzum",0:10:00,"Agencia Santa Lucia",NO,"Sin Cobertura",,EBANO
928,C738,08.5.147,CAJERO,"ATM CLUB MAYAN GOLF (C738) PROSEGUR",LOCAL,"Km. 18.5 Finca El Zarzal, Villa Nueva, Guatemala",0:15:00,"Base Villa Nueva",NO,"Sin Cobertura",,EBANO
929,C739,08.3.193,CAJERO,"ATM AUTO C. SAN CRISTOBAL (C739) AGENCIA",LOCAL,"Boulevard Principal Zona 8 Mixco C.C. Plaza San Cristobal",0:10:00,"Base Shell Aguilar Batres",SI,"Sin Cobertura",,EBANO
930,C741,08.4.298,CAJERO,"ATM DESP. KM. 13.5  (C741) FORZA",LOCAL,"CA-9 Atlántico 46-98 Zona 25",0:10:00,"Base Shell Norte",NO,0.013888889,España,EBANO
931,C742,08.4.293,CAJERO,"ATM DESP. LAS BRISAS (C742) FORZA",LOCAL,"Kilometro 16.5 Carretera a San Juan Sacatepequez,",0:10:00,"Base Shell Florida",NO,0.013888889,Milan,EBANO
932,C743,08.4.294,CAJERO,"ATM DESP. LO DE CARRANZA (C743) FORZA",LOCAL,"Granja el Refugio calle principal, San Juan Sacatepequez",0:10:00,"Base Shell Florida",NO,"Sin cobertura",NO,EBANO
933,C745,08.4.295,CAJERO,"ATM DESP. LINDA VISTA (C745) PROSEGUR",LOCAL,"1era. avenida 3 calle colonia Guatel zona 10, Villa Nueva",0:10:00,"Base Villa Nueva",NO,0.010416667,Nazaret,EBANO
934,C746,08.4.297,CAJERO,"ATM DESP. PALIN (C746) PROSEGUR",DEPARTAMENTAL,"km. 39.5 Carretera al pacifico palin",0:30:00,"Agencia Escuintla y Villa Nueva",NO,0.010416667,"WAGSA - AMA",EBANO
935,C747,08.4.289,CAJERO,"ATM LA TORRE SAN MIGUEL PET. (C747) FORZA",LOCAL,"Calle Real 8-00 Zona 10 Colonia Santa TereSIta, Sa",0:20:00,"Base Villa Nueva",NO,0.010416667,Nazaret,EBANO
936,C748,08.4.290,CAJERO,"ATM LA TORRE PUERTO DE SAN JOSE (C748) PROSEGUR",DEPARTAMENTAL,"Km. 105 Barrio la Arenera C.C. Plaza Manantial, Lo",0:10:00,"Agencia Pto. San Jóse",NO,"Sin Cobertura",NO,EBANO
937,C749,08.4.296,CAJERO,"ATM DESP.  INDEPENDENCIA (C749) FORZA",DEPARTAMENTAL,"7ma. avenida y diagonal 2, Zona 5 Quetzaltenango",0:10:00,"Agencia Xela",NO,0.006944444,XELA,EBANO
938,C750,08.4.305,CAJERO,"ATM PAIZ FUNDABIEN (C750) FORZA",LOCAL,"5 Avenida 3-05 Sector A3 Zona 8 Mixco, San Cristób",0:10:00,"Base Oficinas Centrales",NO,0.006944444,Brasil,EBANO
939,C751,08.5.156,CAJERO,"ATM IRTRA AMATITLAN (C751) FORZA",LOCAL,"Kilometro 28 Circunvalación al lago, Amatitlán, Gu",0:25:00,"Base Villa Nueva",NO,"Sin Cobertura",,EBANO
940,C752,08.5.154,CAJERO,"ATM TATA (C752) PROSEGUR",LOCAL,"2da. Calle 1-25 zona 8, San Miguel Petapa",0:20:00,"Base Villa Nueva",NO,"Sin Cobertura",,EBANO
941,C753,08.4.316,CAJERO,"ATM BURGER KING ZONA 15 (C753) FORZA",LOCAL,"2 CALLE A 17-88 ZONA 15 VISTA HERMOSA II",0:10:00,"BI Zona 15",NO,"Sin Cobertura",,EBANO
942,C754,08.3.213,CAJERO,"ATM WALLMART PUERTA PARADA 2 (C754) AGENCIA",LOCAL,"Km. 15.5 Carretera a El Salvador.",0:10:00,Condado,SI,0.006944444,Londres,EBANO
943,C755,08.4.304,CAJERO,"ATM WALMART VILLA NUEVA III (C755) FORZA",LOCAL,"Km. 17 carretera pacifico entrada Barcenas",0:10:00,"Base Villa Nueva",NO,0.006944444,Nazaret,EBANO
944,C756,08.4.291,CAJERO,"ATM MEGA CENTRO 2 (C756) PROSEGUR",LOCAL,"Calzada Roosevelt 29-60 zona 7 Centro Comercial Me",0:10:00,Roosevelt,NO,"Sin Cobertura",,EBANO
945,C757,08.4.308,CAJERO,"ATM PERI ROSEVELT 2 (C757) PROSEGUR",LOCAL,"Calzada Roosevelt 25-35 z. 7 (Centro Comercial). 1",0:10:00,Roosevelt,NO,"Sin Cobertura",,EBANO
946,C758,08.4.310,CAJERO,"ATM C.C. PLAZA FLORIDA 2 (C758) PROSEGUR",LOCAL,"Calzada San Juan 1-83, dentro de C.C. Plaza Florida",0:10:00,"Base Shell Florida",NO,"Sin Cobertura",,EBANO
947,C759,08.4.292,CAJERO,"ATM METAMERCADO MIXCO (C759) PROSEGUR",LOCAL,"Calzada San Juan y 10 Avenida Esquina, Zona 4 de M",0:10:00,"Base Shell Florida",NO,"Sin Cobertura",,EBANO
948,C760,08.3.195,CAJERO,"ATM CENTRO FINANCIERO V (C760) AGENCIA",LOCAL,"Centro Financiero, Torre III, Nivel 3",0:10:00,"Shell Carmel Zona 4",NO,"Sin Cobertura",,EBANO
949,C761,08.4.306,CAJERO,"ATM C.C. CONDADO CONCEPCION (C761) FORZA",LOCAL,"Km. 15.5 Carretera El Salvador. C. C. Condado Concepciòn",0:10:00,"Shell Condado",NO,"Sin Cobertura",,EBANO
950,C762,08.4.302,CAJERO,"ATM C.C. METRO PLAZA (C762) PROSEGUR",LOCAL,"Kilometro 12.7 carretera hacia El Salvador, San Josè Pinula",0:10:00,"Base Shell Condado",NO,"Sin Cobertura",,EBANO
951,C764,08.4.312,CAJERO,"ATM SANTA CLARA  (C764) AGENCIA",LOCAL,"Km. 17 Carretera al Pacifico, Barcenas Villa Nueva",0:10:00,"Agencia Villa Nueva",NO,"Sin Cobertura",,EBANO
952,C765,08.4.288,CAJERO,"ATM C.C. METRO NORTE (C765) PROSEGUR",LOCAL,"Carretera al Atlántico km. 5 Zona 17 Centro Comercial Metro Norte",0:10:00,Norte,NO,"Sin Cobertura",,EBANO
953,C766,08.4.325,CAJERO,"ATM PACIFIC CENTER 2 (SOTANO) (C766) PROSEGUR",LOCAL,"Calzada Aguilar Batres   32-00 Zona 11 C.C. Pacifi",0:10:00,"Shell Mariscal ",NO,"Sin Cobertura",,EBANO
954,C767,08.4.326,CAJERO,"ATM PACIFIC CENTER VILLA HERMOSA (C767) PROSEGUR",LOCAL,"23 Calle 19-00 Zona 7 Sn. Miguel Petapa",0:20:00,"Base Villa Nueva",NO,"Sin Cobertura",,EBANO
955,C768,08.4.300,CAJERO,"ATM PROCERES PRIMER NIVEL (C768) PROSEGUR",LOCAL,"16 Calle 2-00 zona 10 Guatemala (1er. nivel del ce",0:10:00,"Base Zona 10",NO,"Sin Cobertura",,EBANO
956,C769,08.5.155,CAJERO,"ATM EDIFICIO TETRA CENTER (C769) FORZA",LOCAL,"15 Avenida 17-40, zona 13 Edificio Tetra Center",0:10:00,Américas,NO,"Sin Cobertura",,EBANO
957,C770,08.4.324,CAJERO,"ATM PAIZ 18 CALLE (C770) FORZA",LOCAL,"18 Calle 6-85, zona 1, Guatemala",0:10:00,"Texaco 24 Calle Zona 1",NO,0.006944444,"Alaska - Dublin",EBANO
958,C771,08.5.158,CAJERO,"ATM INGENIO TRINIDAD  (C771) FORZA",DEPARTAMENTAL,"Kilometro 70.5  Carretera a Masagua Escuintla",0:35:00,"Agencia Escuintla",NO,"Sin Cobertura",,EBANO
959,C772,08.5.157,CAJERO,"ATM DENIMATRIX 2 (C772) FORZA",LOCAL,"37 avenida 2-77 zona 7 colonia el Rodeo",0:10:00,central,NO,"Sin Cobertura",,EBANO
960,C774,08.3.196,CAJERO,"ATM AUTO FLOR DEL LAGO (C774) FORZA",LOCAL,"Km. 30 Carretera al Pacífico, Amatitlán",0:25:00,"Agencia Villa Nueva",NO,"Sin Cobertura",,EBANO
961,C775,08.3.199,CAJERO,"ATM AUTO PASEO AMERICAS XELA (C775) AGENCIA",DEPARTAMENTAL,"Avenida las Américas, Zona 9, Quetzaltenango",0:10:00,Xela,PREAUTORIZADO,"Sin Cobertura",,EBANO
962,C777,08.4.327,CAJERO,"ATM C.C. PORTAL SOLE (C777) PROSEGUR",LOCAL,"Km. 18.5 Carretera a El Salvador",0:10:00,"Base Shell Condado",NO,"Sin Cobertura",,EBANO
963,C778,08.5.165,CAJERO,"ATM GIMNASIO SPORTA (C778) PROSEGUR",LOCAL,"Km. 18.5 Carretera a El Salvador",0:10:00,"Base Shell Condado",NO,"Sin Cobertura",,EBANO
964,C780,08.3.198,CAJERO,"ATM QUICHE (C780) AGENCIA",DEPARTAMENTAL,"2da. Avenida y 3era. Calle zona 1 Quiché",0:10:00,Quichè,SI,"Sin Cobertura",,EBANO
965,C781,08.4.317,CAJERO,"ATM SUP 24 FLOR DEL CAMPO (C781) FORZA",LOCAL,"Km. 32 Carretera al Pacífico de sur a norte, Amati",0:10:00,Amatitlan,NO,"Sin Cobertura",,EBANO
966,C782,08.3.203,CAJERO,"ATM AGENCIA TIKAL FUTURA (C782) AGENCIA",LOCAL,"Calz. Roosevelt 22-43 zona 11 CC Tikal Futura",0:10:00,"Base B.I. Calzada Roosevelt ",SI,"Sin Cobertura",,EBANO
967,C783,08.3.207,CAJERO,"ATM AUTO AMERICAS IV (C783) AGENCIA",LOCAL,"Av Las Américas 16-77 Zona 14",0:10:00,"Base Americas",NO,"Sin Cobertura",,EBANO
968,C784,08.3.200,CAJERO,"ATM PASEO AMERICAS XELA (C784) AGENCIA",DEPARTAMENTAL,"Avenida las Américas Zona 9, C. C. Paseo Las Améri",0:10:00,Xela,PREAUTORIZADO,"Sin Cobertura",,EBANO
969,C785,08.4.309,CAJERO,"ATM PLAZA CENTRAL ZONA 1 (C785) PROSEGUR",LOCAL,"Plaza Central 9 av. 7-35 z. 1",0:10:00,"Zona 1",NO,"Sin Cobertura",,EBANO
970,C786,08.4.315,CAJERO,"ATM SUP 24 PUERTO ITZAPA (C786) PROSEGUR",DEPARTAMENTAL,"3 Calle 5-60 zona 1 Iztapa, Escuintla",0:25:00,"Puerto San Jose",NO,"Sin Cobertura",,EBANO
971,C787,08.3.197,CAJERO,"ATM FLOR DEL LAGO (C787) AGENCIA",LOCAL,"Km. 30 Carretera al Pacífico, Amatitlán",0:10:00,Amatitlan,NO,"Sin Cobertura",,EBANO
972,C788,08.3.206,CAJERO,"ATM AMERICAS IV (C788) AGENCIA",LOCAL,"Av Las Américas 16-77 Zona 14",0:10:00,"Base Americas",NO,"Sin Cobertura",,EBANO
973,C789,08.3.205,CAJERO,"ATM SANTA CATARINA PINULA (C789) AGENCIA",LOCAL,"5 Avenida 0 Calle Santa Catarina Pinula, Guatemala",0:25:00,"Americas Zona 13",NO,"Sin Cobertura",,EBANO
974,C790,08.4.319,CAJERO,"ATM DESP. S. CRISTOBAL VERA. (C790) FORZA",DEPARTAMENTAL,"Calle del Muelle 1a. Avenida Barrio San Felipe 3-8",0:50:00,Cobán,NO,"Sin Cobertura",NO,EBANO
975,C791,08.4.448,CAJERO,"ATM DESP. SAN MARCOS (C791) FORZA",DEPARTAMENTAL,"8 Avenida 12-33 zona 3, San Marcos, San Marcos",0:15:00,"San Pedro San Marcos",NO,"Sin Cobertura",NO,EBANO
976,C792,08.5.160,CAJERO,"ATM IRTRA PETAPA II (C792) FORZA",LOCAL,"Ave. Petapa 42-36, zona 12.  43 calle y Ave. Petap",0:10:00,"Santa Elisa Zona 12",NO,"Sin Cobertura",,EBANO
977,C795,08.3.201,CAJERO,"ATM INGENIO PANTALEON II (C795) AGENCIA",DEPARTAMENTAL,"Km. 86.5 Carretera al Pacífico, CA-2, SIquinalá, E",0:25:00,"Santa Lucía",NO,"Sin Cobertura",,EBANO
978,C797,08.4.320,CAJERO,"ATM EURO SHOP (C797) FORZA",LOCAL,"5 av. 7-92 zona 14",0:10:00,"Zona 14",NO,"Sin Cobertura",,EBANO
979,C798,08.5.163,CAJERO,"ATM NINA CAPS (C798) PROSEGUR",LOCAL,"3 avenida 9-87 zona 13, Guatemala",0:10:00,Américas,NO,"Sin Cobertura",,EBANO
980,C799,08.4.321,CAJERO,"ATM C.C. PROCERES 3 (C799) PROSEGUR",LOCAL,"16 calle 2-00 z. 10 (2o. nivel del  Centro Comercial Proceres",0:10:00,"Base Zona 10",NO,"Sin Cobertura",,EBANO
981,C800,08.3.204,CAJERO,"ATM PATULUL (C800) AGENCIA",DEPARTAMENTAL,"Calle Principal 3-42 Patulul, Suchitepéquez",0:40:00,"Santa Lucía",NO,"Sin Cobertura",,EBANO
982,C802,08.4.328,CAJERO,"ATM PAIZ PRADERA (C802) PROSEGUR",LOCAL,"20 Calle 25-85 zona 10",0:10:00,"Base Zona 10",NO,0.006944444,Japon,EBANO
983,C803,08.4.329,CAJERO,"ATM MAXI ROOSEVELT (C803) PROSEGUR",LOCAL,"Calzada Roosevelt y 37 Avenida zona 7",0:10:00,"Base B.I. Calzada Roosevelt",NO,0.006944444,Francia,EBANO
984,C804,08.5.166,CAJERO,"ATM ASISTENCIA GLOBAL (C804) FORZA",LOCAL,"Avenida las Américas 17-78 zona 13 ",0:10:00,Américas,NO,"Sin Cobertura",,EBANO
985,C805,08.4.331,CAJERO,"ATM ESKALA ROOSEVELT II (C805) PROSEGUR",LOCAL,"Kilometro 13.8 Calzada Roosevelth zona 3 de Mixco,",0:10:00,"Base Oficinas Centrales",NO,"Sin Cobertura",,EBANO
986,C806,08.4.330,CAJERO,"ATM TEXACO EL CORTIJO  (C806) PROSEGUR",LOCAL,"Avenida Petapa 22-99 zona 12, Guatemala",0:10:00,"Santa Elisa Zona 12",NO,"Sin Cobertura",,EBANO
987,C807,08.3.208,CAJERO,"ATM COMERCIAL PRADERA (C807) AGENCIA",LOCAL,"Galerías La Pradera  20 calle 25-85 z. 10 (2do nivel)",0:10:00,"Base Shell Santa Elisa",NO,"Sin Cobertura",,EBANO
988,C808,08.4.334,CAJERO,"ATM PAIZ AMERICAS (C808) PROSEGUR",LOCAL,"11 calle 15-01 zona 13 Guatemala",0:10:00,"Base Americas",NO,0.006944444,Italia,EBANO
989,C809,08.4.337,CAJERO,"ATM PAIZ ASUNCION (C809) PROSEGUR",LOCAL,"Diagonal 14 20-55 zona 5 Colonia Arrivillaga",0:10:00,"Base Texaco 24 Calle ",NO,0.006944444,Canada,EBANO
990,C810,08.4.335,CAJERO,"ATM WALMART ROOSEVELT III (C810) AGENCIA",LOCAL,"Calz. Roosevelt 26-95 zona 11",0:10:00,"Base B.I. Calzada Roosevelt",NO,0.006944444,Francia,EBANO
991,C812,08.4.336,CAJERO,"ATM MAXI CHIMALTENANGO (C812) FORZA",DEPARTAMENTAL,"7ª. calle 2-02, zona 2, Chimaltenango. C.C. Prader",0:10:00,"Ag Ebano Chimaltenango",NO,0.006944444,CHIMALTENANGO,EBANO
992,C814,08.5.167,CAJERO,"ATM PEPSI ATANASIO (C814) PROSEGUR",LOCAL,"27 Avenida 33-90 zona 12, Colonia Santa Elisa.",0:10:00,"Shell Santa Elisa Zona 12",NO,"Sin Cobertura",,EBANO
993,C815,08.5.168,CAJERO,"ATM WESTRUST BANK ZONA 14 (C815) AGENCIA",LOCAL,"Avenida Las Américas 16-81 Zona 14, Guatemala",0:10:00,"Americas Zona 13",NO,"Sin Cobertura",,EBANO
994,C817,08.4.342,CAJERO,"ATM DESP. LO DE REYES (C817) PROSEGUR",LOCAL,"Lote 27 lo de Reyes, kilometro 16 carretera San Pedro Ayampuc",0:15:00,"Agencia Ebano Norte.",NO,"Sin cobertura",NO,EBANO
995,C818,08.4.343,CAJERO,"ATM MAXI ATLANTIDA (C818) PROSEGUR",LOCAL,"Interior Centro Comercial Meta Terminal Zona 18",0:10:00,"Shell Lomas del Norte",NO,0.006944444,España,EBANO
996,C819,08.4.344,CAJERO,"ATM MAXI ATANASIO TZUL (C819) PROSEGUR",LOCAL,"51 Calle y Avenida Petapa  zona 12 C.C.  Gran Plaza AtanaSIo",0:10:00,"Shell Lomas del Norte",NO,0.006944444,Haiti,EBANO
997,C820,08.4.345,CAJERO,"ATM PAIZ EL NARANJO (C820) PROSEGUR",LOCAL,"14 Avenida 9-20 zona 4 de Mixco, Condado Naranjo.",0:10:00,"Shell Kaminal",NO,0.006944444,Milan,EBANO
998,C821,08.5.169,CAJERO,"ATM CLUB DELFINES (C821) FORZA",LOCAL,"9 calle 20-81 zona 14 Guatemala.",0:10:00,Américas,NO,"Sin Cobertura",,EBANO
999,C822,08.4.346,CAJERO,"ATM MERCADO DE ARTESANIAS (C822) PROSEGUR",LOCAL,"Boulevard Juan Pablo II, interior Zona 13",0:10:00,Américas,NO,"Sin Cobertura",,EBANO
1000,C823,08.5.170,CAJERO,"ATM LA CORRUGADORA (C823) PROSEGUR",DEPARTAMENTAL,"Barrio La Corrugadora, Bananera, Morales Izabal",0:10:00,"Agencia Ebano Izabal",NO,"Sin Cobertura",,EBANO
1001,C826,08.3.209,CAJERO,"ATM PLAZA FUTECA (C826) AGENCIA",LOCAL,"10 Avenida 8-16 Zona 14, C.C. Plaza Futeca Local 9",0:10:00,"Americas Zona 13",NO,"Sin Cobertura",,EBANO
1002,C827,08.3.210,CAJERO,"ATM COMERCIAL SAN RAFAEL (C827) AGENCIA",LOCAL,"Km. 7.5 carretera al Atlántico, Centro Comercial S",0:10:00,"Shell Lomas del Norte",NO,"Sin Cobertura",,EBANO
1003,C830,08.5.174,CAJERO,"ATM EDIFICIO PRADERA XELA (C830) FORZA",DEPARTAMENTAL,"Avenida Las Américas 7-62 Zona 3",0:10:00,Quetzaltenango,NO,"Sin Cobertura",,EBANO
1004,C831,08.5.173,CAJERO,"ATM EDIFICIO TORINO (C831) PROSEGUR",LOCAL,"17 Avenida 19-70 Zona 10, Guatemala",0:10:00,"Base Zona 10",NO,"Sin Cobertura",,EBANO
1005,C832,08.5.175,CAJERO,"ATM JARDINES MIL FLORES (C832) PROSEGUR",LOCAL,"km. 28.5 Carretera al Pacifico, Cantòn Ingenio Ama",0:10:00,Amatitlan,NO,"Sin Cobertura",,EBANO
1006,C833,08.3.211,CAJERO,"ATM CENTRA SUR 1 (C833) AGENCIA",LOCAL,"2 Avenida Final, Plaza Centra Sur, Locales 3, 4 y 5 Villa Lobos",0:13,Petapa,NO,"Sin Cobertura",,EBANO
1007,C834,08.3.212,CAJERO,"ATM CENTRA SUR 2 (C834) AGENCIA",LOCAL,"2 Avenida Final, Plaza Centra Sur, Locales 3, 4 y 5 Villa Lobos",0:13,Petapa,NO,"Sin Cobertura",,EBANO
1008,C835,08.5.177,CAJERO,"ATM ACS CALL CENTER (C835) FORZA",LOCAL,"6 Avenida "A"" 9-24 zona 9, Edificio Plaza Rabí"",0:10:00,"Zona 9",NO,"Sin Cobertura",,EBANO
1009,C836,08.5.176,CAJERO,"ATM EDIFICIO PLATINA (C836) PROSEGUR",LOCAL,"5 Avenida 16-62 zona 10",0:10:00,"Sector Z. 10",NO,"Sin Cobertura",,EBANO
1010,C837,08.4.349,CAJERO,"ATM C.C. LOS ALAMOS (C837) PROSEGUR",LOCAL,"Km 4.5 Carretera al Atlantico, Centro Comercial Los Alamos",0:10:00,"Sector Norte",NO,"Sin Cobertura",,EBANO
1011,C839,08.5.178,CAJERO,"ATM LOMAS DE PORTUGAL (C839) FORZA",LOCAL,"2 Calle 0-46 zona 1, Mixco, Lomas de Portugal",0:10:00,"Sector Central",NO,"Sin Cobertura",,EBANO
1012,C840,08.3.214,CAJERO,"ATM DESIGN CENTER (C840) AGENCIA",LOCAL,"Diagonal 6 12-42 zona 10 Edificio DeSIgn Center",0:10:00,"Zona 10",NO,"Sin Cobertura",,EBANO
1013,C841,08.4.350,CAJERO,"ATM CENTRO COMERCIAL EL DORADO (C841) FORZA",DEPARTAMENTAL,"Calle Principal Santander 00-99 Panajachel, Solola",0:25:00,"Agencia Ebano Panajachel",NO,"Sin Cobertura",,EBANO
1014,C842,08.4.351,CAJERO,"ATM ECONOSUP BOULEVARD SUR (C842) PROSEGUR",LOCAL,"6 Avenida Boulevard Sur 22-55 Sector C1, Zona 8",0:15:00,"San Cristobal",NO,0.006944444,Brasil,EBANO
1015,C843,08.4.352,CAJERO,"ATM METRO FERIA EL GUARDA (C843) AGENCIA",LOCAL,"Diagonal doce, Calzada Roosevelt, 04-65, zona 11,",0:10:00,Roosevelt,NO,"Sin Cobertura",,EBANO
1016,C844,08.5.179,CAJERO,"ATM WALMART OFICINAS  (C844) FORZA",LOCAL,"16 Calle 3-47 Zona 10 Edificio Trevio, Guatemala, Guatemala",0:10:00,"Zona 9",NO,0.006944444,Kenia,EBANO
1017,C845,08.5.204,CAJERO,"ATM CEMENTOS PROGRESO 2 (C845) AGENCIA",LOCAL,"15 Av. 18-01 zona 6, Guatemala, Guatemala.",0:10:00,"Parroquia zona 6",NO,"Sin Cobertura",,EBANO
1018,C846,08.5.183,CAJERO,"ATM CIRCULO AEREO (C846) PROSEGUR",LOCAL,"Avenida Hincapié y 18 calle zona 13, Guatemala.",0:10:00,Américas,NO,"Sin Cobertura",,EBANO
1019,C848,08.5.182,CAJERO,"ATM PIO LINDO VILLA NUEVA (C848) FORZA",LOCAL,"1ra. calle 2-91 zona 5, Villa Nueva",0:10:00,"Villa Nueva",NO,"Sin Cobertura",,EBANO
1020,C849,08.4.353,CAJERO,"ATM C.C. PORTALES 1 (C849) PROSEGUR",LOCAL,"Carretera al Atlántico, zona 17, Centro Comercial Portales",0:10:00,Norte,NO,"Sin Cobertura",,EBANO
1021,C850,08.4.354,CAJERO,"ATM C.C PORTALES 2 (C850) AGENCIA",LOCAL,"Carretera al Atlántico, zona 17, Centro Comercial Portales",0:10:00,Norte,NO,"Sin Cobertura",,EBANO
1022,C852,08.3.215,CAJERO,"ATM REAL ASUNCION ZONA 5 (C852) AGENCIA",LOCAL,"Diagonal 14 20-55 zona 5, Plaza Real Asunciòn",0:15:00,Bolivar,SI,"Sin Cobertura",SI,EBANO
1023,C853,08.5.184,CAJERO,"ATM UNIVERSIDAD MARIANO GALVEZ II (C853) PROSEGUR",LOCAL,"3 Avenida 9-00 zona 2, Finca El Zapote, Guatemala,",0:10:00,parroquia,NO,"Sin Cobertura",,EBANO
1024,C854,08.4.355,CAJERO,"ATM MI CASITA TERMINAL (C854) PROSEGUR",LOCAL,"Ruta 8 2-19 zona 4, Guatemala",0:15:00,Bolivar,NO,0.006944444,Kenia,EBANO
1025,C855,08.4.356,CAJERO,"ATM MI CASITA ZONA 1 (C855) PROSEGUR",LOCAL,"7 Avenida 17-45 zona 1, Guatemala",0:10:00,"Zona 1",NO,0.006944444,Alaska,EBANO
1026,C856,08.4.357,CAJERO,"ATM MI CASITA FERRETERIA (C856) PROSEGUR",LOCAL,"2 calle 3-40 zona 4, Guatemala.",0:15:00,Bolivar,NO,0.006944444,Kenia,EBANO
1027,C857,08.4.358,CAJERO,"ATM LA BARATA MOLINOS (C857) PROSEGUR",LOCAL,"Calzada Roosevelt, Km. 15, Centro Comercial Molino",0:10:00,central,NO,0.006944444,Milan,EBANO
1028,C858,08.4.359,CAJERO,"ATM LA BARATA MIXCO (C858) PROSEGUR",LOCAL,"6 Avenida 7-39 Zona 1, Mixco, Guatemala.",0:10:00,Central,NO,0.010416667,Milan,EBANO
1029,C859,08.4.376,CAJERO,"ATM MAXI SAN RAFAEL (C859) PROSEGUR",LOCAL,"Km 7.5 Carretera al Atlántico Zona 18",0:10:00,norte,NO,0.006944444,España,EBANO
1030,C860,08.3.216,CAJERO,"ATM SAN JOSE PINULA (C860) AGENCIA",LOCAL,"1a. Avenida 7-23, zona 1, Boulevard Principal, San",0:30:00,Condado,NO,"Sin Cobertura",,EBANO
1031,CA1B,08.4.365,CAJERO,"ATM MAXI DESP. MONTSERRAT (CA1B) PROSEGUR",LOCAL,"Calzada San Juan 14-06 Zona 4 Mixco Col.  Mte. Real C.C. Montserrat, 2do Nivel, local 90.",0:10:00,Florida,NO,"Sin Cobertura",,EBANO
1032,C862,08.4.363,CAJERO,"ATM DESP. 18 CALLE (C862) PROSEGUR",LOCAL,"18 calle 9-55 zona 1, Guatemala",0:10:00,bolivar,NO,0.006944444,Alaska,EBANO
1033,C863,08.4.361,CAJERO,"ATM PASEO CAYALA 1 (C863) PROSEGUR",LOCAL,"22 calle 9-33 zona 16. Centro Comercial Paseo Cayala",0:13,"Zona 15",NO,"Sin Cobertura",,EBANO
1034,C864,08.4.362,CAJERO,"ATM PASEO CAYALA 2 (C864) PROSEGUR",LOCAL,"22 calle 9-33 zona 16. Centro Comercial Paseo Caya",0:13,"Zona 15",NO,"Sin Cobertura",,EBANO
1035,C866,08.3.217,CAJERO,"ATM JALAPA 2 (C866) AGENCIA",DEPARTAMENTAL,"Avenida Chipilapa 2-79 zona 2, Jalapa, Jalapa.",0:10:00,Jalapa,NO,"Sin Cobertura",,EBANO
1036,C867,08.4.377,CAJERO,"ATM C.C. METRO NORTE II (C867) PROSEGUR",LOCAL,"Carretera al Atlántico Km. 5 Zona 17, Centro Comer",0:10:00,Norte,NO,"Sin Cobertura",,EBANO
1037,C868,08.4.366,CAJERO,"ATM LA TORRE SANTA AMELIA (C868) FORZA",LOCAL,"Boulevard Hospital Militar Zona 16, Colonia Santa",0:20:00,"zona 15",NO,0.010416667,Canada,EBANO
1038,C870,08.4.368,CAJERO,"ATM LA BARATA SAN JULIAN (C870) PROSEGUR",LOCAL,"15 Avenida lote 3, Zona 6, Colonia San Julian, Chi",0:15:00,parroquia,NO,0.010416667,España,EBANO
1039,C871,08.4.369,CAJERO,"ATM LA BARATA AMATITLAN (C871) FORZA",LOCAL,"3a. Avenida 3-54 zona 1. Amatitlàn",0:30:00,"VILLA NUEVA",NO,0.006944444,Oslo,EBANO
1040,C873,08.4.371,CAJERO,"ATM DESP. CIUDAD VIEJA (C873) FORZA",DEPARTAMENTAL,"2 calle 2-62 Zona 3 Ciudad Vieja, Sacatepéquez",0:20:00,Antigua,NO,0.006944444,ANTIGUA,EBANO
1041,C874,08.4.372,CAJERO,"ATM DESP. SANTA ISABEL (C874) PROSEGUR",LOCAL,"Kilometro 20, Carretera CA-9, Zona 3 Villa Nueva,",0:20:00,"villa nueva",NO,0.006944444,Nazaret,EBANO
1042,C875,08.4.373,CAJERO,"ATM DESP. S ANTO. B DEL MONTE (C875) PROSEGUR",LOCAL,"4a. Calle y 4a. Avenida Zona 2 Aldea Boca del Monte",0:20:00,americas,NO,0.010416667,"Italia - Haiti",EBANO
1043,C876,08.4.374,CAJERO,"ATM MAXI MAZATENANGO (C876) FORZA",DEPARTAMENTAL,"Calle Centenario, salida al Retalhuleu, frente a IGSS, Mazatenango, Guatemala",0:10:00,Mazatenango,NO,0.006944444,MAZATENANGO,EBANO
1044,C877,08.4.375,CAJERO,"ATM SHELL MONT BLANC XELA (C877) FORZA",DEPARTAMENTAL,"18 Avenida 3-54 zona 3 Quetzaltenango",0:10:00,Quetzaltenango,NO,"Sin Cobertura",,EBANO
